#	Question	Question Type	QuestionTypeId	Answer	AnswerType	AnswerTypeId	SecondaryAnswers	QuestionImage
1	What is Dark Seer's ultimate ability?	Text	1	Wall of Replica	Single answer + alt spellings	2	vacuum	
2	What is Arteezy's real name?	Text	1	Artour Babaev, Artour	Single answer + alt spellings	2		
3	What year was the 7.00 update released?	Text	1	2016	Single answer	1		
4	Who is Mogul Khan?	Text	1	Axe	Single answer	1		
5	Which debuff can Orchid Malevolence cause to its target?	Text	1	Silence	Single answer	1		
6	Except pudge, which other hero was needed to perform a fountain hook in DotA 2?	Text	1	Chen	Single answer	1		
7	Which team won TI4?	Text	1	Newbee	Single answer	1		
8	According to the lore, which hero took part in destroying Anti-mage's home village?	Text	1	Undying	Single answer + alt spellings	2	dirge	
9	Which hero can spawn treants?	Text	1	Nature's Prophet	Single answer + alt spellings	2	furion, np	
10	How much gold does an Aghanim's scepter cost?	Text	1	4200	Single answer + alt spellings	2	4.2k	
11	Which item can be upgraded 4 times?	Text	1	Dagon	Single answer	1		
12	Name a hero who wears goggles.	Text	1	Sniper, Tinker, Snapfire, Gyrocopter, Batrider	Multiple valid answers	3	gyro	
13	Which item burns mana on each hit?	Text	1	Diffusal Blade, Disperser	Multiple valid answers	3	diffusal	
14	"Which hero has the ability ""Diabolic Edict""?"	Text	1	Leshrac	Single answer	1		
15	Which hero has the highest base damage?	Text	1	Treant Protector	Single answer + alt spellings	2	treant	
16	Which hero has the highest intelligence gain?	Text	1	Pugna	Single answer	1		
17	What's invokers name?	Text	1	Carl	Single answer	1		
18	What does Dragon knight call his sword?	Text	1	Wyrmblade	Single answer	1		
19	Which spell replaced Tusk's Frozen Sigil?	Text	1	Tag Team	Single answer	1		
20	Which hero resembles a watermelon?	Text	1	Tidehunter	Single answer + alt spellings	2	watermelon, tide	
21	What's the name of the Goddess of the Moon?	Text	1	Selemene	Single answer	1		
22	༼ つ ◕_◕ ༽つ GIVE	Text	1	DIRETIDE	Single answer	1		
23	Which patch introduced neutral items?	Text	1	7.23	Single answer	1		
24	What is Warlocks third ability called?	Text	1	Upheaval	Single answer	1		
25	Name a hero that has more than two eyes on one head.	Text	1	Broodmother, Sand King, Venomancer, Medusa	Multiple valid answers	3	brood, veno, banana, dusa	
26	How many intelligence heroes are melee?	Text	1	3  (only ogre magi currently)	Single answer + alt spellings	2	three	
27	Name a hero that rides a horse.	Text	1	Chaos Knight, Keeper of the Light, Abaddon	Multiple valid answers	3	ck, kotl, ezalor	
28	How much gold does a Reaver cost?	Text	1	2800	Single answer	1		
29	"Which hero has an ability named ""Essence Flux""?"	Text	1	Outworld Destroyer (innate ability now)	Single answer + alt spellings	2	outworld devourer, od, obsidian destroyer	
30	Which God does Omniknight worship?	Text	1	Omniscience	Single answer	1		
31	How many maximum units can Chen take control of with Holy Persuasion? (with talents)	Text	1	8 (4 only now, and no longer has a talent about it)	Single answer + alt spellings	2	eight	
32	Which hero has the shortest average ability cooldown?	Text	1	Bristleback	Single answer + alt spellings	2	bb, bristle	
33	Which ability allows you to steal gold?	Text	1	Jinada	Single answer	1		
34	According to the lore, which hero patrols the Narrow Maze?	Text	1	Razor	Single answer	1		
35	Name a hero voiced by Gary Schwartz.	Text	1	Lich, Pugna, Shadow Shaman, Sniper	Multiple valid answers	3	shaman	
36	Name a hero voiced by John Patrick Lowrie.	Text	1	Dark Seer, Earthshaker, Pudge, Storm Spirit, Ancient Apparition, Shadow Fiend, Doom	Multiple valid answers	3	ds, shaker, aa, sf, nevermore	
37	Which hero is also known as The Nightcrawler?	Text	1	Slark	Single answer	1		
38	What ability does Enchantress gain by acquiring an Aghanim's scepter?	Text	1	Sproink (Little Friends now, sproink is shard)	Single answer	1		
39	Name an ability that drains a PERCENTAGE of the targets' mana	Text	1	Sinister Gaze, Fiend's grip	Multiple valid answers	3		
40	Name an active ability that requires no mana or health to cast	Text	1	Phase Shift, Chakra Magic, Tempest Double, M.A.D. (Techies shard)	Multiple valid answers	3	puck out	
41	What is Earth Spirit's name?	Text	1	Kaolin	Single answer	1		
42	According to the lore, which hero was rewarded with the belt of Omexe?	Text	1	Centaur Warrunner	Single answer + alt spellings	2	centaur, cent	
43	Name a hero that throws javelins or spears as their basic attack.	Text	1	Huskar, Enchantress	Multiple valid answers	3	ench	
44	"Which hero has the voiceline ""Better to run than curse the road""?"	Text	1	Clinkz	Single answer + alt spellings	2	bone fletcher	
45	Which professional player made the 6 Million dollar Echo slam?	Text	1	UNiVeRsE	Single answer	1		
46	"How many heroes can be referred to as ""ES""?"	Text	1	3	Single answer + alt spellings	2	three	
47	"Name one of the heroes released with the ""Dueling fates""(7.07) update."	Text	1	Dark Willow, Pangolier	Multiple valid answers	3	mireska, pango	
48	Which hero has been in the most amount of matches?	Text	1	Pudge	Single answer	1		
